Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
dnos  FWOG,(+7),379,0.58,135.8,0.52,58%,91.1,0.43,0.27,0.03,0.1,15%,5%,4/74,14,164,317,101,10,38
cch0  FWOG,(+1),221,0.58,147.8,0.54,51%,93.3,0.48,0.16,0.05,0.12,24%,11%,4/37,13,107,198,35,11,27
style  Zeni,(+4),292,0.57,142.6,0.53,58%,99.4,0.47,0.27,0.05,0.13,20%,5%,1/22,21,136,255,78,16,39
jarosa  AKM,(+6),297,0.57,139.3,0.55,55%,93.3,0.48,0.18,0.1,0.15,20%,10%,3/29,20,142,259,54,29,45
Teets,(+3),221,0.57,140.5,0.54,53%,93.7,0.47,0.14,0.04,0.11,24%,3%,1/32,15,103,190,32,9,24
m1lky  VX,(+3),626,0.56,152.3,0.55,56%,102.0,0.49,0.2,0.11,0.23,17%,,0/57,23,308,565,124,67,146
Osu  Univ,(+2),220,0.56,131.4,0.48,56%,97.9,0.41,0.21,0.05,0.09,28%,9%,3/32,18,90,188,46,10,19
Gjalla  NXS,(+2),387,0.56,148.1,0.58,54%,99.1,0.53,0.11,0.14,0.18,27%,6%,2/32,23,204,351,42,56,71
SugoiTkapp  SPL,(+2),321,0.54,189.6,0.85,55%,130.1,0.62,0.29,0.07,0.08,23%,5%,3/65,26,200,236,92,21,25
eqnx  Spec,(+2),283,0.54,143.1,0.53,48%,89.9,0.47,0.15,0.11,0.23,24%,,0/21,16,133,251,43,31,65
PNASTY,(+2),200,0.54,134.4,0.54,51%,88.5,0.46,0.18,0.04,0.11,14%,5%,2/43,17,92,169,36,8,22
RILLA,,215,0.53,127.5,0.48,51%,87.1,0.43,0.21,0.07,0.18,16%,12%,3/26,22,92,190,45,16,38
xeric  NXS,(+1),205,0.52,123.3,0.4,53%,83.0,0.37,0.32,0.03,0.13,22%,6%,2/32,9,75,186,66,7,26
JSauls  DV,(+5),414,0.48,121.3,0.49,50%,84.1,0.43,0.13,0.04,0.17,24%,10%,6/60,17,178,364,52,18,70
mFH  MAD.SC,(+2),222,0.48,102.9,0.42,55%,68.1,0.35,0.21,0.04,0.09,23%,6%,2/36,16,77,182,47,8,20
Xp3  EG.GC,(+2),836,0.37,167.7,0.76,35%,111.6,0.59,0.25,0.07,0.11,19%,10%,7/69,23,491,643,208,61,75
Frisco  COL,(+2),244,0.37,142.1,0.59,47%,95.1,0.5,0.16,0.05,0.11,23%,,0/12,16,121,205,39,12,13
Tork  BBG,,255,,160.5,0.66,,120.0,0.51,0.34,0.05,0.02,17%,,,18,129,196,87,14,1
mizoo,(+3),395,,168.5,0.81,,106.2,0.6,0.35,0.08,0.11,27%,13%,4/30,22,237,291,137,33,43
Melio  Prospects,(+3),354,,180.1,0.77,,113.8,0.62,0.17,0.15,0.17,27%,20%,7/35,21,221,288,61,52,54
miLLe  MRG,,209,,167.5,0.78,,104.3,0.6,0.22,0.08,0.1,22%,9%,2/22,19,125,161,46,16,17
ColeUP  seek,(+3),400,,154.6,0.62,,108.1,0.51,0.17,0.05,0.13,15%,11%,5/46,19,203,329,67,19,52
Infinite  NRG,(+3),853,,202.1,1.0,,127.8,0.69,0.28,0.08,0.1,19%,23%,21/90,29,589,589,238,68,88
sh  Seda,(+1),240,,190.2,0.8,,119.8,0.62,0.24,0.07,0.08,20%,8%,3/36,19,149,187,58,16,19
abE,,271,,191.6,0.85,,122.5,0.66,0.25,0.08,0.04,20%,9%,5/53,24,178,209,68,23,11
JP2  CN,,483,,156.0,0.71,,107.8,0.53,0.36,0.04,0.06,22%,19%,12/64,20,256,360,172,17,28
LeX  Seda,(+1),381,,194.4,0.75,,133.8,0.63,0.27,0.11,0.13,22%,16%,4/25,24,239,320,103,43,31
Kurtis  DT,(+2),378,,190.5,0.84,,122.7,0.63,0.26,0.08,0.15,17%,19%,6/32,22,239,284,98,31,57
gmanchew,(+2),292,,166.9,0.77,,105.3,0.56,0.25,0.05,0.07,20%,9%,3/33,20,163,213,73,15,21
aKis  NV,(+3),982,,191.2,0.91,,125.4,0.64,0.24,0.07,0.08,17%,18%,11/60,29,631,697,239,71,64
anger  Rise,(+2),576,,177.9,0.82,,112.6,0.6,0.23,0.06,0.1,24%,11%,9/85,20,347,425,135,34,47
zecK  FaZe,(+1),1008,,180.0,0.83,,121.8,0.62,0.29,0.05,0.07,19%,9%,10/106,23,628,757,288,53,68
yana,,487,,224.2,1.11,,144.9,0.8,0.28,0.05,0.08,22%,21%,11/53,25,389,352,137,25,39
MiLLER,(+1),384,,180.1,0.88,,112.4,0.65,0.16,0.07,0.1,24%,20%,15/75,22,251,285,63,26,38
Tucker  STORM,(+1),419,,179.6,0.74,,115.1,0.58,0.28,0.07,0.08,14%,5%,2/38,18,245,332,118,29,29
Bunny  SUP,(+2),333,,163.3,0.73,,101.1,0.59,0.21,0.07,0.16,24%,15%,3/20,19,196,268,69,22,44
LiN  EG,,487,,185.7,0.77,,121.8,0.61,0.2,0.08,0.1,15%,8%,4/50,21,298,385,97,37,49
Valliate,(+1),245,,166.1,0.68,,110.6,0.54,0.22,0.13,0.15,20%,,,17,133,197,53,32,12
Nicolas  BBG,,255,,144.2,0.6,,87.9,0.49,0.23,0.07,0.1,20%,,,17,125,207,58,17,4
Pride,(+1),245,,187.9,0.86,,107.1,0.65,0.2,0.1,0.12,25%,,0/9,23,160,187,48,24,9
