Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Selldrudd,(+3),308,0.78,145.3,0.7,62%,92.3,0.51,0.26,0.04,0.08,18%,20%,8/41,21,157,225,79,12,24
Crown  Zeni,(+3),299,0.78,169.8,0.72,58%,114.7,0.58,0.29,0.07,0.07,19%,7%,5/71,18,173,241,88,22,22
redo  TM.B,(+6),864,0.78,154.8,0.73,64%,102.0,0.54,0.27,0.05,0.07,20%,7%,9/134,28,470,641,237,42,59
Nabaki  Moon,(+2),575,0.78,165.4,0.76,62%,111.8,0.58,0.19,0.05,0.07,24%,7%,7/95,21,333,437,108,31,43
JSIN  TPG,(+2),244,0.78,185.4,0.72,68%,120.5,0.59,0.24,0.07,0.07,21%,6%,3/48,15,145,201,59,16,17
tylo  AU,(+5),415,0.78,166.7,0.67,61%,114.6,0.55,0.23,0.12,0.09,23%,8%,4/48,23,228,341,97,50,39
WorldRise  Moon,(+1),257,0.78,183.2,0.83,61%,118.0,0.64,0.13,0.08,0.16,18%,,0/26,23,164,198,33,21,42
Altered  HZN,(+4),525,0.78,175.0,0.8,63%,117.0,0.61,0.16,0.08,0.09,19%,16%,15/91,26,319,401,82,41,46
Shane  IluZ,(+8),973,0.78,149.5,0.67,65%,98.0,0.52,0.3,0.05,0.08,21%,13%,18/141,20,502,747,291,44,76
Qlutch,(+4),687,0.78,176.2,0.76,65%,116.3,0.61,0.29,0.07,0.14,24%,12%,8/65,23,421,557,198,45,94
JamKes  TM.B,(+2),269,0.78,157.0,0.68,68%,106.3,0.53,0.31,0.05,0.07,23%,8%,3/38,21,143,209,83,13,20
Tayz  LV,(+4),421,0.78,178.6,0.72,62%,116.4,0.59,0.22,0.1,0.12,18%,9%,4/45,23,249,345,94,43,52
Sworns  1337,(+3),436,0.78,167.0,0.72,62%,116.5,0.57,0.19,0.09,0.08,24%,11%,7/66,25,247,344,83,40,37
Tillo  afte,(+8),963,0.78,172.4,0.73,64%,118.1,0.58,0.28,0.07,0.12,21%,6%,7/125,29,563,772,274,68,112
PROD  Team,(+6),525,0.78,178.7,0.75,62%,120.3,0.62,0.24,0.1,0.14,21%,4%,2/50,25,324,430,125,51,72
Donovan  UCF.B,(+1),403,0.78,172.6,0.77,67%,114.5,0.6,0.33,0.05,0.1,30%,7%,3/41,20,241,314,134,21,42
Philip  SOL,(+4),503,0.78,162.5,0.75,64%,108.9,0.57,0.19,0.09,0.1,30%,3%,2/59,21,288,386,94,45,49
Ouate  Able,(+4),1096,0.78,157.6,0.66,66%,103.5,0.51,0.34,0.06,0.09,18%,18%,27/152,20,562,855,371,66,104
Kamiunist  WHIT,(+5),549,0.78,191.8,0.8,65%,126.1,0.66,0.26,0.13,0.17,21%,10%,5/51,28,361,452,144,72,94
YJS  Able,(+6),417,0.78,189.7,0.79,61%,121.2,0.65,0.19,0.1,0.13,25%,10%,6/58,23,273,347,78,40,56
FugLy  PK,,341,0.78,144.5,0.7,70%,97.0,0.49,0.27,0.05,0.1,18%,21%,7/34,20,167,240,91,18,33
Storax  Snakes,(+1),356,0.78,166.8,0.73,62%,115.5,0.57,0.19,0.05,0.08,15%,12%,6/51,23,202,276,66,17,28
WiLD  RILL,(+9),940,0.78,163.6,0.72,64%,107.8,0.56,0.33,0.06,0.1,23%,10%,12/120,23,525,729,308,56,96
Sable,(+1),286,0.77,131.5,0.6,65%,86.2,0.43,0.32,0.01,0.07,16%,9%,4/45,15,122,205,91,4,19
Joseph  eU,(+8),1662,0.77,170.9,0.78,63%,112.6,0.6,0.21,0.07,0.09,23%,9%,18/197,28,999,1282,349,111,150
KillerMiller  Stas,(+7),1583,0.77,160.5,0.7,63%,106.4,0.54,0.25,0.06,0.1,21%,8%,20/238,21,861,1228,397,91,157
reece  Rose,(+2),449,0.77,160.0,0.72,63%,106.0,0.54,0.31,0.07,0.1,27%,13%,5/40,19,244,341,138,30,46
Rereiana,,237,0.77,169.4,0.72,66%,113.4,0.57,0.23,0.04,0.08,23%,7%,3/46,18,136,189,55,10,19
Xyph9r,,437,0.77,188.1,0.83,60%,119.4,0.64,0.24,0.08,0.11,18%,2%,1/49,22,281,337,105,35,47
Borj  SCC.A,,211,0.77,207.7,0.8,62%,129.5,0.67,0.18,0.15,0.27,20%,13%,1/8,21,142,177,38,31,58
vanish  TI,(+3),480,0.77,158.2,0.71,65%,107.2,0.54,0.26,0.09,0.08,25%,9%,4/46,21,259,367,123,45,39
Shockah  PLR,(+6),876,0.77,163.2,0.7,66%,112.0,0.54,0.25,0.06,0.09,20%,13%,15/116,19,469,672,223,50,80
Blush  FL,(+3),378,0.77,172.6,0.75,65%,110.8,0.6,0.26,0.07,0.1,17%,12%,6/50,25,227,301,97,25,38
Soba  SUPE,(+2),353,0.77,187.1,0.76,59%,129.4,0.64,0.23,0.12,0.14,22%,7%,3/44,24,227,300,80,42,49
Restoredrambo  LYE,,236,0.77,180.6,0.75,58%,117.8,0.64,0.17,0.17,0.16,24%,11%,3/28,21,150,201,39,39,38
Rayano  CR,(+3),331,0.77,143.6,0.67,63%,92.7,0.51,0.28,0.07,0.11,22%,6%,3/47,22,168,250,92,22,35
Typhon,(+1),269,0.77,167.1,0.7,64%,105.7,0.57,0.28,0.07,0.1,28%,10%,5/50,20,154,221,74,19,27
pauLy  CN,,668,0.77,201.3,0.87,68%,131.4,0.66,0.33,0.09,0.1,20%,13%,15/117,24,444,510,220,63,68
Sarastarr  N2L,,616,0.77,165.0,0.69,66%,112.8,0.54,0.32,0.04,0.09,15%,14%,13/92,28,332,480,197,27,58
Nightmare,(+2),1376,0.77,159.8,0.67,64%,109.0,0.53,0.29,0.05,0.1,17%,11%,20/178,24,728,1084,399,65,135
